 	 	0	1	 	 	1
a	a	0	1	a	a#a	1
ą	ą	0	1	o w~	ą#ow~	1
ą	ąb	0	1	o m	ą#om	1
ą	ąc	0	1	o n	ą#on	1
ą	ąci	0	1	o n'	ą#on'	1
ą	ącz	0	1	o n	ą#on	1
ą	ąć	0	1	o n'	ą#on'	1
ą	ąd	0	1	o n	ą#on	1
ą	ądz	0	1	o n	ą#on	1
ą	ądzi	0	1	o n'	ą#on'	1
ą	ądź	0	1	o n'	ą#on'	1
ą	ądż	0	1	o n	ą#on	1
ą	ąg	0	1	o N	ą#oN	1
ą	ągi	0	1	o N'	ą#oN'	1
ą	ąk	0	1	o N	ą#oN	1
ą	ąki	0	1	o N'	ą#oN'	1
ą	ąl	0	1	o	ą#o	1
ą	ął	0	1	o	ą#o	1
ą	ąp	0	1	o m	ą#om	1
ą	ąt	0	1	o n	ą#on	1
b	b	0	1	b	b#b	1
b	b 	0	1	p	b#p	1
b	bc	0	1	p	b#p	1
b	bć	0	1	p	b#p	1
b	bf	0	1	p	b#p	1
b	bh	0	1	p	b#p	1
b	bk	0	1	p	b#p	1
b	bp	0	1	p	b#p	1
b	bs	0	1	p	b#p	1
b	bś	0	1	p	b#p	1
b	bt	0	1	p	b#p	1
bi	bi	0	2	b i	bi#bi	1
bi	bia	0	2	b'	bi#b'	1
bi	bie	0	2	b'	bi#b'	1
bi	bii	0	2	b'	bi#b'	1
bi	bio	0	2	b'	bi#b'	1
bi	bió	0	2	b'	bi#b'	1
bi	biu	0	2	b'	bi#b'	1
bi	biy	0	2	b'	bi#b'	1
c	c	0	1	ts	c#ts	1
c	cb	0	1	dz	c#dz	1
c	cd	0	1	dz	c#dz	1
c	cg	0	1	dz	c#dz	1
c	cź	0	1	dz	c#dz	1
c	cż	0	1	dz	c#dz	1
ch	ch	0	2	x	ch#x	1
ch	chb	0	2	G	ch#G	1
ch	chd	0	2	G	ch#G	1
ch	chg	0	2	G	ch#G	1
ch	chz	0	2	G	ch#G	1
ch	chź	0	2	G	ch#G	1
ch	chż	0	2	G	ch#G	1
chi	chi	0	3	x' i	chi#x'i	1
chi	chia	0	3	x' j	chi#x'j	1
chi	chie	0	3	x' j	chi#x'j	1
chi	chii	0	3	x' j	chi#x'j	1
chi	chio	0	3	x' j	chi#x'j	1
chi	chió	0	3	x' j	chi#x'j	1
chi	chiu	0	3	x' j	chi#x'j	1
chi	chiy	0	3	x' j	chi#x'j	1
ci	ci	0	2	ts' i	ci#ts'i	1
ci	cia	0	2	ts'	ci#ts'	1
ci	cie	0	2	ts'	ci#ts'	1
ci	cii	0	2	ts'	ci#ts'	1
ci	cio	0	2	ts'	ci#ts'	1
ci	ció	0	2	ts'	ci#ts'	1
ci	ciu	0	2	ts'	ci#ts'	1
ci	ciy	0	2	ts'	ci#ts'	1
cz	cz	0	2	tS	cz#tS	1
cz	czb	0	2	dZ	cz#dZ	1
cz	czd	0	2	dZ	cz#dZ	1
cz	czg	0	2	dZ	cz#dZ	1
cz	czz	0	2	dZ	cz#dZ	1
cz	czź	0	2	dZ	cz#dZ	1
cz	czż	0	2	dZ	cz#dZ	1
ć	ć	0	1	ts'	ć#ts'	1
ć	ćb	0	1	dz'	ć#dz'	1
ć	ćd	0	1	dz'	ć#dz'	1
ć	ćg	0	1	dz'	ć#dz'	1
ć	ćz	0	1	dz'	ć#dz'	1
ć	ćź	0	1	dz'	ć#dz'	1
ć	ćż	0	1	dz'	ć#dz'	1
d	d	0	1	d	d#d	1
d	d 	0	1	t	d#t	1
d	dc	0	1	t	d#t	1
d	dc	0	1	ts	d#ts	1
d	dci	0	1	ts'	d#ts'	1
d	dcz	0	1	tS	d#tS	1
d	dć	0	1	t	d#t	1
d	dć	0	1	ts'	d#ts'	1
d	ddrz	0	1	dZ	d#dZ	1
d	ddzi	0	1	dz'	d#dz'	1
d	ddź	0	1	dz'	d#dz'	1
d	ddż	0	1	dZ	d#dZ	1
d	df	0	1	t	d#t	1
d	dh	0	1	t	d#t	1
d	dk	0	1	t	d#t	1
d	dp	0	1	t	d#t	1
